154_4b4_Lr_mc_AKGC417L,0.292,2.244,-500.601,142.809,34.3722,34.0326,19.0199,19.132,12.9415,12.9935,9.20691,8.598,5.93647,5.61658,3.73154
154_4b4_Lr_mc_AKGC417L,2.244,4.363,-677.333,149.047,46.774,40.8175,29.4253,27.8736,25.0325,23.4338,14.6652,17.1739,11.5578,10.3843,5.35513
154_4b4_Lr_mc_AKGC417L,4.363,6.295,-585.365,141.647,34.3486,32.4897,19.3899,17.8665,13.8016,12.786,8.76814,8.09534,7.18367,7.74304,6.31922
154_4b4_Lr_mc_AKGC417L,6.295,8.458,-674.533,153.284,49.5722,38.3731,19.5907,21.784,18.585,16.7343,10.8219,5.57249,6.37769,5.83075,-0.116177
154_4b4_Lr_mc_AKGC417L,8.458,10.444,-544.887,137.108,28.8409,29.2101,12.733,13.3139,9.38996,8.20317,4.86008,5.8332,3.08478,4.25127,2.7567
154_4b4_Lr_mc_AKGC417L,10.444,12.423,-757.34,141.034,68.1982,51.2081,33.9819,28.0251,16.817,22.0752,14.488,13.7855,3.77176,-7.73268,0.408064
154_4b4_Lr_mc_AKGC417L,12.423,14.732,-748.023,149.687,71.2957,40.5417,32.337,35.0213,38.5807,31.9893,16.2971,15.3582,7.69099,14.7986,11.3213
154_4b4_Lr_mc_AKGC417L,14.732,16.851,-635.637,151.437,47.369,41.9461,27.0849,28.2443,21.487,18.4599,14.8847,12.9999,10.6323,10.5205,8.38036
154_4b4_Lr_mc_AKGC417L,16.851,18.78,-512.691,139.929,32.232,30.5708,16.846,16.9626,9.96397,10.7808,6.99592,7.11342,5.30558,4.89467,3.13323
154_4b4_Lr_mc_AKGC417L,18.78,19.696,-760.136,143.1,66.8758,46.7775,29.5179,35.9734,24.7766,11.0709,14.113,10.7307,4.27003,-1.31993,9.26864
154_2b4_Ll_mc_AKGC417L,1.33,3.804,-962.274,117.199,32.9594,33.0212,24.813,20.8413,23.334,18.806,7.19377,8.28068,9.36472,7.80644,8.22197
154_2b4_Ll_mc_AKGC417L,3.804,6.396,-789.027,138.351,30.3402,30.4744,15.643,14.9506,8.18758,10.7443,11.3773,10.4231,6.34824,3.95921,5.25442
154_2b4_Ll_mc_AKGC417L,6.396,8.938,-940.438,130.396,52.765,39.3733,22.7297,28.1856,32.2717,22.2315,26.1688,15.234,3.95063,5.26034,-0.575424
154_2b4_Ll_mc_AKGC417L,8.938,11.58,-832.747,141.142,40.1068,35.9955,22.9019,22.0208,16.676,15.6542,12.3538,13.0066,10.1087,8.95959,8.62402
154_2b4_Ll_mc_AKGC417L,11.58,14.072,-916.069,138.517,50.0734,38.4713,33.4177,23.9828,21.7479,24.4501,21.8571,16.6715,14.0816,10.117,12.6956
154_2b4_Ll_mc_AKGC417L,14.072,17.049,-947.718,143.512,63.2337,43.757,32.928,31.0638,31.6782,35.9092,25.3895,29.7994,18.035,4.40368,-3.96317
154_2b4_Ll_mc_AKGC417L,17.049,19.49,-881.936,135.066,36.8024,32.6058,21.1345,21.6708,10.9716,9.54399,8.76993,10.1175,8.99563,10.7923,12.7679
154_4b4_Al_mc_AKGC417L,0.292,2.244,-620.599,143.836,36.2496,34.4793,18.4729,17.3692,12.5146,11.0061,8.27106,8.94341,6.02951,5.57663,3.53165
154_4b4_Al_mc_AKGC417L,2.244,4.363,-834.265,178.137,72.7356,52.7702,26.2778,23.595,21.6677,14.6594,7.94273,-0.0710144,0.182537,7.72078,7.53428
154_4b4_Al_mc_AKGC417L,4.363,6.295,-568.495,143.07,35.638,34.367,20.2426,19.5246,13.9297,13.0894,9.92751,9.7147,8.01452,7.91856,6.53187
154_4b4_Al_mc_AKGC417L,6.295,8.458,-629.47,149.227,40.2866,39.0777,23.6217,22.9666,17.4081,16.0671,14.2038,13.7818,10.8593,9.42921,7.69649
154_4b4_Al_mc_AKGC417L,8.458,10.444,-526.928,138.472,30.6264,29.1054,14.257,13.3648,8.20767,8.2332,5.32786,4.92223,2.71212,2.63772,1.08254
154_4b4_Al_mc_AKGC417L,10.444,12.423,-765.831,153.327,55.9357,46.5987,33.8672,32.8512,27.0045,21.2003,17.318,17.6084,13.584,13.4718,11.2506
154_4b4_Al_mc_AKGC417L,12.423,14.732,-847.04,165.366,86.257,49.545,33.0711,27.8098,23.1777,19.751,14.6188,15.2888,2.74516,4.71499,-0.255085
154_4b4_Al_mc_AKGC417L,14.732,16.851,-601.354,145.614,38.5967,37.2927,24.1489,23.1986,18.273,17.9184,14.8878,14.6365,11.7685,11.4655,9.50865
154_4b4_Al_mc_AKGC417L,16.851,18.78,-542.472,141.297,33.6392,32.5549,19.1401,18.8406,13.163,12.5532,9.89196,9.61785,6.74556,6.47497,5.74288
154_4b4_Al_mc_AKGC417L,18.78,19.696,-839.651,155.045,66.5076,45.2792,37.3787,29.375,30.1611,23.6407,21.3482,17.4422,12.6836,14.2864,7.45969
154_1b3_Al_mc_AKGC417L,0.399,2.327,-847.397,151.829,49.0424,45.121,28.5847,27.1023,19.7797,16.9115,9.8911,9.77151,5.21863,3.86683,1.27378
154_1b3_Al_mc_AKGC417L,2.327,4.316,-692.851,142.16,34.8749,34.2545,20.4352,21.0833,16.0402,15.2659,12.8339,12.1863,10.5947,9.0941,8.19248
154_1b3_Al_mc_AKGC417L,4.316,6.149,-843.089,172.038,66.6586,59.3435,42.2799,39.8261,30.851,26.4682,19.0547,15.0765,10.072,8.70875,6.44187
154_1b3_Al_mc_AKGC417L,6.149,8.042,-561.619,136.639,29.1088,27.7837,13.5826,12.9725,7.23577,7.07862,4.37803,4.38848,2.72494,2.78868,1.60278
154_1b3_Al_mc_AKGC417L,8.042,9.816,-892.143,160.633,56.4828,47.256,34.9522,33.8515,27.9571,24.2269,20.4067,20.0051,18.3724,13.0151,11.4199
154_1b3_Al_mc_AKGC417L,9.816,11.554,-868.394,194.465,85.8335,62.257,39.4529,28.4313,25.2693,23.6732,22.6339,24.9406,17.5622,8.90413,5.23261
154_1b3_Al_mc_AKGC417L,11.554,13.089,-794.46,163.868,56.9672,52.2075,33.2777,30.4775,19.8289,17.5962,10.7714,6.01007,3.71189,2.36172,2.99315
